#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Mb),GC%,Assembly Accession,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status,Center,BioSample Accession
Saccharomyces cerevisiae YJM1526,1294382,PRJNA189930,189930,Fungi,Ascomycetes,12.5274,38.5112,GCA_000978165.2,chromosome I:CP004495.1; chromosome II:CP004585.2; chromosome III:CP006324.2; chromosome IV:CP004745.2; chromosome V:CP004840.2; chromosome VI:CP004975.2; chromosome VII:CP005279.1; chromosome VIII:CP006112.2; chromosome IX:CP005068.2; chromosome X:CP005181.2; chromosome XI:CP005376.2; chromosome XII:CP006428.1; chromosome XIII:CP005477.2; chromosome XIV:CP005579.2; chromosome XV:CP005673.1; chromosome XVI:CP006204.2; plasmid 2 micron:CP004564.1; mitochondrion MT:CP006559.1,-,18,6862,5363,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923196
Fusarium oxysporum f. sp. lagenariae,120295,PRJNA389501,389501,Fungi,Ascomycetes,47.9475,47.6,GCA_002234135.1,-,NJCH01,764,-,-,27/07/2017,27/07/2017,Scaffold,University of Amsterdam,SAMN07201017
Fusarium oxysporum f. sp. lagenariae,120295,PRJNA389501,389501,Fungi,Ascomycetes,56.0878,47.1,GCA_002234165.1,-,NJCI01,2650,-,-,27/07/2017,27/07/2017,Scaffold,University of Amsterdam,SAMN07201016
Saccharomyces cerevisiae YJM1527,1294383,PRJNA189931,189931,Fungi,Ascomycetes,12.7146,38.6027,GCA_000978195.2,chromosome I:CP004496.2; chromosome II:CP004586.2; chromosome III:CP006325.2; chromosome IV:CP004746.2; chromosome V:CP004841.2; chromosome VI:CP004976.2; chromosome VII:CP005280.2; chromosome VIII:CP006113.1; chromosome IX:CP005069.2; chromosome X:CP005182.2; chromosome XI:CP005377.2; chromosome XII:CP006429.1; chromosome XIII:CP005478.2; chromosome XIV:CP005580.2; chromosome XV:CP005674.2; chromosome XVI:CP006205.2; plasmid 2 micron:CP004565.1; mitochondrion MT:CP006560.1,-,18,7109,5397,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923197
Saccharomyces cerevisiae YJM1549,1294384,PRJNA189932,189932,Fungi,Ascomycetes,13.2166,38.7873,GCA_000978225.2,chromosome I:CP004497.2; chromosome II:CP004587.2; chromosome III:CP006326.2; chromosome IV:CP004747.2; chromosome V:CP004842.2; chromosome VI:CP004977.2; chromosome VII:CP005281.2; chromosome VIII:CP006114.2; chromosome IX:CP005070.2; chromosome X:CP005183.2; chromosome XI:CP005378.2; chromosome XII:CP006430.1; chromosome XIII:CP005479.2; chromosome XIV:CP005581.2; chromosome XV:CP005675.2; chromosome XVI:CP006206.2; mitochondrion MT:CP006561.1,-,17,7739,5452,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923198
Fusarium oxysporum f. sp. lagenariae,120295,PRJNA389501,389501,Fungi,Ascomycetes,53.8719,47.3,GCA_002234185.1,-,NJCJ01,1728,-,-,27/07/2017,27/07/2017,Scaffold,University of Amsterdam,SAMN07201015
Fusarium oxysporum f. gladioli,113634,PRJNA389501,389501,Fungi,Ascomycetes,56.1321,47.2,GCA_002234195.1,-,NJCK01,3146,-,-,27/07/2017,27/07/2017,Scaffold,University of Amsterdam,SAMN07201014
Saccharomyces cerevisiae YJM1573,1294385,PRJNA189933,189933,Fungi,Ascomycetes,12.2409,38.3629,GCA_000978255.2,chromosome I:CP004498.2; chromosome II:CP004588.2; chromosome III:CP006327.1; chromosome IV:CP004748.2; chromosome V:CP004843.1; chromosome VI:CP004978.2; chromosome VII:CP005282.2; chromosome VIII:CP006115.2; chromosome IX:CP005071.2; chromosome X:CP005184.1; chromosome XI:CP005379.2; chromosome XII:CP006431.1; chromosome XIII:CP005480.2; chromosome XIV:CP005582.2; chromosome XV:CP005676.2; chromosome XVI:CP006207.2; mitochondrion MT:CP006562.1,-,17,6526,5451,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923199
Saccharomyces cerevisiae YJM1574,1294386,PRJNA189934,189934,Fungi,Ascomycetes,12.2871,38.4642,GCA_000978285.2,chromosome I:CP004499.2; chromosome II:CP004589.1; chromosome III:CP006328.2; chromosome IV:CP004749.1; chromosome V:CP004844.2; chromosome VI:CP004979.2; chromosome VII:CP005283.2; chromosome VIII:CP006116.2; chromosome IX:CP005072.2; chromosome X:CP005185.2; chromosome XI:CP005380.2; chromosome XII:CP006432.1; chromosome XIII:CP005481.2; chromosome XIV:CP005583.2; chromosome XV:CP005677.2; chromosome XVI:CP006208.2; plasmid 2 micron:CP004566.1; mitochondrion MT:CP006563.1,-,18,6738,5359,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923200
Fusarium oxysporum f. sp. conglutinans,100902,PRJNA399027,399027,Fungi,Ascomycetes,55.8555,47.7,GCA_002711385.1,-,NRHZ01,5119,-,-,25/10/2017,25/10/2017,Scaffold,Chinese Academy of Agricultural Sciences,SAMN07522031
Fusarium oxysporum f. sp. conglutinans,100902,PRJNA399027,399027,Fungi,Ascomycetes,53.55,47.7,GCA_002711405.1,-,NRIA01,4399,-,-,25/10/2017,25/10/2017,Scaffold,Chinese Academy of Agricultural Sciences,SAMN07522030
Saccharomyces cerevisiae YJM1592,1294387,PRJNA189935,189935,Fungi,Ascomycetes,12.3227,38.4684,GCA_000978315.2,chromosome I:CP004500.1; chromosome II:CP004590.2; chromosome III:CP006329.2; chromosome IV:CP004750.2; chromosome V:CP004845.2; chromosome VI:CP004980.2; chromosome VII:CP005284.1; chromosome VIII:CP006117.2; chromosome IX:CP005073.2; chromosome X:CP005186.2; chromosome XI:CP005381.2; chromosome XII:CP006433.1; chromosome XIII:CP005482.2; chromosome XIV:CP005584.2; chromosome XV:CP005678.2; chromosome XVI:CP006209.2; mitochondrion MT:CP006564.1,-,17,6742,5393,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923201
Saccharomyces cerevisiae YJM1615,1294388,PRJNA189936,189936,Fungi,Ascomycetes,12.7047,38.5146,GCA_000978345.2,chromosome I:CP004501.2; chromosome II:CP004591.2; chromosome III:CP006330.2; chromosome IV:CP004751.2; chromosome V:CP004799.1; chromosome VI:CP004981.2; chromosome VII:CP005285.2; chromosome VIII:CP006118.2; chromosome IX:CP005027.2; chromosome X:CP005187.2; chromosome XI:CP005382.1; chromosome XII:CP006434.1; chromosome XIII:CP005483.2; chromosome XIV:CP005585.2; chromosome XV:CP005679.2; chromosome XVI:CP006210.2; plasmid 2 micron:CP004567.1; mitochondrion MT:CP006565.1,-,18,6940,5412,24/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923202
Fusarium oxysporum,5507,PRJNA361522,361522,Fungi,Ascomycetes,51.3814,47.3,GCA_002894245.1,-,MTPZ01,1295,-,-,22/01/2018,22/01/2018,Scaffold,CSIRO,SAMN06234613
Fusarium oxysporum,5507,PRJEB14872,412609,Fungi,Ascomycetes,49.0856,47.1,GCA_900096695.1,-,FMJY01,49,17339,16976,03/10/2017,03/10/2017,Scaffold,Technische Universitat Munchen - WZW,SAMEA4440882
Saccharomyces cerevisiae,4932,PRJNA284829,284829,Fungi,Ascomycetes,12.1509,38.5859,GCA_001029075.1,chromosome I:CP011810.1; chromosome II:CP011811.1; chromosome III:CP011812.1; chromosome IV:CP011813.1; chromosome V:CP011814.1; chromosome VI:CP011815.1; chromosome VII:CP011816.1; chromosome VIII:CP011817.1; chromosome IX:CP011818.1; chromosome X:CP011819.1; chromosome XI:CP011820.1; chromosome XII:CP011821.1; chromosome XIII:CP011822.1; chromosome XIV:CP011823.1; chromosome XV:CP011824.1; chromosome XVI:CP011825.1; mitochondrion MT:CP011826.1,-,17,-,-,17/06/2015,05/08/2015,Chromosome,OSMANIA UNIVERSITY,SAMN03733457
Saccharomyces cerevisiae,4932,PRJNA312691,312691,Fungi,Ascomycetes,12.0719,38.3205,GCA_001592655.1,chromosome I:CP014732.1; chromosome II:CP014733.1; chromosome III:CP014734.1; chromosome IV:CP014735.1; chromosome V:CP014736.1; chromosome VI:CP014737.1; chromosome VII:CP014738.1; chromosome VIII:CP014739.1; chromosome IX:CP014740.1; chromosome X:CP014725.1; chromosome XI:CP014726.1; chromosome XII:CP014727.1; chromosome XIII:CP014728.1; chromosome XIV:CP014729.1; chromosome XV:CP014730.1; chromosome XVI:CP014731.1; mitochondrion MT:CP014741.1,-,17,-,-,15/03/2016,15/03/2016,Chromosome,Shandong University,SAMN04505234
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1175,38.6151,GCA_001669875.1,chromosome I:CP007913.1; chromosome II:CP007914.1; chromosome III:CP007915.1; chromosome IV:CP007916.1; chromosome V:CP007917.1; chromosome VI:CP007918.1; chromosome VII:CP007919.1; chromosome VIII:CP007920.1; chromosome IX:CP007921.1; chromosome X:CP007922.1; chromosome XI:CP007923.1; chromosome XII:CP007924.1; chromosome XIII:CP007925.1; chromosome XIV:CP007926.1; chromosome XV:CP007927.1; chromosome XVI:CP007928.1; mitochondrion MT:CP007929.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777146
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1311,38.6048,GCA_001669905.1,chromosome I:CP007811.1; chromosome II:CP007812.1; chromosome III:CP007813.1; chromosome IV:CP007814.1; chromosome V:CP007815.1; chromosome VI:CP007816.1; chromosome VII:CP007817.1; chromosome VIII:CP007818.1; chromosome IX:CP007819.1; chromosome X:CP007820.1; chromosome XI:CP007821.1; chromosome XII:CP007822.1; chromosome XIII:CP007823.1; chromosome XIV:CP007824.1; chromosome XV:CP007825.1; chromosome XVI:CP007826.1; mitochondrion MT:CP007827.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770301
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1226,38.5475,GCA_001669935.1,chromosome I:CP007828.1; chromosome II:CP007829.1; chromosome III:CP007830.1; chromosome IV:CP007831.1; chromosome V:CP007832.1; chromosome VI:CP007833.1; chromosome VII:CP007834.1; chromosome VIII:CP007835.1; chromosome IX:CP007836.1; chromosome X:CP007837.1; chromosome XI:CP007838.1; chromosome XII:CP007839.1; chromosome XIII:CP007840.1; chromosome XIV:CP007841.1; chromosome XV:CP007842.1; chromosome XVI:CP007843.1; mitochondrion MT:CP007844.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770300
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1119,38.5937,GCA_001669965.1,chromosome I:CP007845.1; chromosome II:CP007846.1; chromosome III:CP007847.1; chromosome IV:CP007848.1; chromosome V:CP007849.1; chromosome VI:CP007850.1; chromosome VII:CP007851.1; chromosome VIII:CP007852.1; chromosome IX:CP007853.1; chromosome X:CP007854.1; chromosome XI:CP007855.1; chromosome XII:CP007856.1; chromosome XIII:CP007857.1; chromosome XIV:CP007858.1; chromosome XV:CP007859.1; chromosome XVI:CP007860.1; mitochondrion MT:CP007861.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770299
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1145,38.5802,GCA_001669995.1,chromosome I:CP007862.1; chromosome II:CP007863.1; chromosome III:CP007864.1; chromosome IV:CP007865.1; chromosome V:CP007866.1; chromosome VI:CP007867.1; chromosome VII:CP007868.1; chromosome VIII:CP007869.1; chromosome IX:CP007870.1; chromosome X:CP007871.1; chromosome XI:CP007872.1; chromosome XII:CP007873.1; chromosome XIII:CP007874.1; chromosome XIV:CP007875.1; chromosome XV:CP007876.1; chromosome XVI:CP007877.1; mitochondrion MT:CP007878.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770298
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1255,38.5575,GCA_001670025.1,chromosome I:CP007879.1; chromosome II:CP007880.1; chromosome III:CP007881.1; chromosome IV:CP007882.1; chromosome V:CP007883.1; chromosome VI:CP007884.1; chromosome VII:CP007885.1; chromosome VIII:CP007886.1; chromosome IX:CP007887.1; chromosome X:CP007888.1; chromosome XI:CP007889.1; chromosome XII:CP007890.1; chromosome XIII:CP007891.1; chromosome XIV:CP007892.1; chromosome XV:CP007893.1; chromosome XVI:CP007894.1; mitochondrion MT:CP007895.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777154
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1228,38.6184,GCA_001670055.1,chromosome I:CP007896.1; chromosome II:CP007897.1; chromosome III:CP007898.1; chromosome IV:CP007899.1; chromosome V:CP007900.1; chromosome VI:CP007901.1; chromosome VII:CP007902.1; chromosome VIII:CP007903.1; chromosome IX:CP007904.1; chromosome X:CP007905.1; chromosome XI:CP007906.1; chromosome XII:CP007907.1; chromosome XIII:CP007908.1; chromosome XIV:CP007909.1; chromosome XV:CP007910.1; chromosome XVI:CP007911.1; mitochondrion MT:CP007912.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777151
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1359,38.5845,GCA_001670085.1,chromosome I:CP007930.1; chromosome II:CP007931.1; chromosome III:CP007932.1; chromosome IV:CP007933.1; chromosome V:CP007934.1; chromosome VI:CP007935.1; chromosome VII:CP007936.1; chromosome VIII:CP007937.1; chromosome IX:CP007938.1; chromosome X:CP007939.1; chromosome XI:CP007940.1; chromosome XII:CP007941.1; chromosome XIII:CP007942.1; chromosome XIV:CP007943.1; chromosome XV:CP007944.1; chromosome XVI:CP007945.1; mitochondrion MT:CP007946.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777145
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1253,38.5968,GCA_001670115.1,chromosome I:CP007947.1; chromosome II:CP007948.1; chromosome III:CP007949.1; chromosome IV:CP007950.1; chromosome V:CP007951.1; chromosome VI:CP007952.1; chromosome VII:CP007953.1; chromosome VIII:CP007954.1; chromosome IX:CP007955.1; chromosome X:CP007956.1; chromosome XI:CP007957.1; chromosome XII:CP007958.1; chromosome XIII:CP007959.1; chromosome XIV:CP007960.1; chromosome XV:CP007961.1; chromosome XVI:CP007962.1; mitochondrion MT:CP007963.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770296
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1368,38.6086,GCA_001670145.1,chromosome I:CP007964.1; chromosome II:CP007965.1; chromosome III:CP007966.1; chromosome IV:CP007967.1; chromosome V:CP007968.1; chromosome VI:CP007969.1; chromosome VII:CP007970.1; chromosome VIII:CP007971.1; chromosome IX:CP007972.1; chromosome X:CP007973.1; chromosome XI:CP007974.1; chromosome XII:CP007975.1; chromosome XIII:CP007976.1; chromosome XIV:CP007977.1; chromosome XV:CP007978.1; chromosome XVI:CP007979.1; mitochondrion MT:CP007980.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777144
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1236,38.6337,GCA_001670175.1,chromosome I:CP008032.1; chromosome II:CP008033.1; chromosome III:CP008034.1; chromosome IV:CP008035.1; chromosome V:CP008036.1; chromosome VI:CP008037.1; chromosome VII:CP008038.1; chromosome VIII:CP008039.1; chromosome IX:CP008040.1; chromosome X:CP008041.1; chromosome XI:CP008042.1; chromosome XII:CP008043.1; chromosome XIII:CP008044.1; chromosome XIV:CP008045.1; chromosome XV:CP008046.1; chromosome XVI:CP008047.1; mitochondrion MT:CP008048.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777156
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1266,38.6151,GCA_001670205.1,chromosome I:CP008049.1; chromosome II:CP008050.1; chromosome III:CP008051.1; chromosome IV:CP008052.1; chromosome V:CP008053.1; chromosome VI:CP008054.1; chromosome VII:CP008055.1; chromosome VIII:CP008056.1; chromosome IX:CP008057.1; chromosome X:CP008058.1; chromosome XI:CP008059.1; chromosome XII:CP008060.1; chromosome XIII:CP008061.1; chromosome XIV:CP008062.1; chromosome XV:CP008063.1; chromosome XVI:CP008064.1; mitochondrion MT:CP008065.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777155
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1217,38.5678,GCA_001670235.1,chromosome I:CP008066.1; chromosome II:CP008067.1; chromosome III:CP008068.1; chromosome IV:CP008069.1; chromosome V:CP008070.1; chromosome VI:CP008071.1; chromosome VII:CP008072.1; chromosome VIII:CP008073.1; chromosome IX:CP008074.1; chromosome X:CP008075.1; chromosome XI:CP008076.1; chromosome XII:CP008077.1; chromosome XIII:CP008078.1; chromosome XIV:CP008079.1; chromosome XV:CP008080.1; chromosome XVI:CP008081.1; mitochondrion MT:CP008082.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770297
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1174,38.5867,GCA_001670265.1,chromosome I:CP008117.1; chromosome II:CP008118.1; chromosome III:CP008119.1; chromosome IV:CP008120.1; chromosome V:CP008121.1; chromosome VI:CP008122.1; chromosome VII:CP008123.1; chromosome VIII:CP008124.1; chromosome IX:CP008125.1; chromosome X:CP008126.1; chromosome XI:CP008127.1; chromosome XII:CP008128.1; chromosome XIII:CP008129.1; chromosome XIV:CP008130.1; chromosome XV:CP008131.1; chromosome XVI:CP008132.1; mitochondrion MT:CP008133.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777149
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1231,38.5879,GCA_001670295.1,chromosome I:CP007981.1; chromosome II:CP007982.1; chromosome III:CP007983.1; chromosome IV:CP007984.1; chromosome V:CP007985.1; chromosome VI:CP007986.1; chromosome VII:CP007987.1; chromosome VIII:CP007988.1; chromosome IX:CP007989.1; chromosome X:CP007990.1; chromosome XI:CP007991.1; chromosome XII:CP007992.1; chromosome XIII:CP007993.1; chromosome XIV:CP007994.1; chromosome XV:CP007995.1; chromosome XVI:CP007996.1; mitochondrion MT:CP007997.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777142
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.131,38.5983,GCA_001670325.1,chromosome I:CP007998.1; chromosome II:CP007999.1; chromosome III:CP008000.1; chromosome IV:CP008001.1; chromosome V:CP008002.1; chromosome VI:CP008003.1; chromosome VII:CP008004.1; chromosome VIII:CP008005.1; chromosome IX:CP008006.1; chromosome X:CP008007.1; chromosome XI:CP008008.1; chromosome XII:CP008009.1; chromosome XIII:CP008010.1; chromosome XIV:CP008011.1; chromosome XV:CP008012.1; chromosome XVI:CP008013.1; mitochondrion MT:CP008014.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777141
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.0855,38.6916,GCA_001670355.1,chromosome I:CP008015.1; chromosome II:CP008016.1; chromosome III:CP008017.1; chromosome IV:CP008018.1; chromosome V:CP008019.1; chromosome VI:CP008020.1; chromosome VII:CP008021.1; chromosome VIII:CP008022.1; chromosome IX:CP008023.1; chromosome X:CP008024.1; chromosome XI:CP008025.1; chromosome XII:CP008026.1; chromosome XIII:CP008027.1; chromosome XIV:CP008028.1; chromosome XV:CP008029.1; chromosome XVI:CP008030.1; mitochondrion MT:CP008031.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777157
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1194,38.7173,GCA_001670385.1,chromosome I:CP008151.1; chromosome II:CP008152.1; chromosome III:CP008153.1; chromosome IV:CP008154.1; chromosome V:CP008155.1; chromosome VI:CP008156.1; chromosome VII:CP008157.1; chromosome VIII:CP008158.1; chromosome IX:CP008159.1; chromosome X:CP008160.1; chromosome XI:CP008161.1; chromosome XII:CP008162.1; chromosome XIII:CP008163.1; chromosome XIV:CP008164.1; chromosome XV:CP008165.1; chromosome XVI:CP008166.1; mitochondrion MT:CP008167.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02777147
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.102,38.6705,GCA_001670415.1,chromosome I:CP008321.1; chromosome II:CP008322.1; chromosome III:CP008323.1; chromosome IV:CP008324.1; chromosome V:CP008325.1; chromosome VI:CP008326.1; chromosome VII:CP008327.1; chromosome VIII:CP008328.1; chromosome IX:CP008329.1; chromosome X:CP008330.1; chromosome XI:CP008331.1; chromosome XII:CP008332.1; chromosome XIII:CP008333.1; chromosome XIV:CP008334.1; chromosome XV:CP008335.1; chromosome XVI:CP008336.1; mitochondrion MT:CP008337.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776117
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1284,38.6242,GCA_001670845.1,chromosome I:CP008287.1; chromosome II:CP008288.1; chromosome III:CP008289.1; chromosome IV:CP008290.1; chromosome V:CP008291.1; chromosome VI:CP008292.1; chromosome VII:CP008293.1; chromosome VIII:CP008294.1; chromosome IX:CP008295.1; chromosome X:CP008296.1; chromosome XI:CP008297.1; chromosome XII:CP008298.1; chromosome XIII:CP008299.1; chromosome XIV:CP008300.1; chromosome XV:CP008301.1; chromosome XVI:CP008302.1; mitochondrion MT:CP008303.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776118
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.129,38.6293,GCA_001670935.1,chromosome I:CP008219.1; chromosome II:CP008220.1; chromosome III:CP008221.1; chromosome IV:CP008222.1; chromosome V:CP008223.1; chromosome VI:CP008224.1; chromosome VII:CP008225.1; chromosome VIII:CP008226.1; chromosome IX:CP008227.1; chromosome X:CP008228.1; chromosome XI:CP008229.1; chromosome XII:CP008230.1; chromosome XIII:CP008231.1; chromosome XIV:CP008232.1; chromosome XV:CP008233.1; chromosome XVI:CP008234.1; mitochondrion MT:CP008235.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776122
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1142,38.6213,GCA_001670965.1,chromosome I:CP008406.1; chromosome II:CP008407.1; chromosome III:CP008408.1; chromosome IV:CP008409.1; chromosome V:CP008410.1; chromosome VI:CP008411.1; chromosome VII:CP008412.1; chromosome VIII:CP008413.1; chromosome IX:CP008414.1; chromosome X:CP008415.1; chromosome XI:CP008416.1; chromosome XII:CP008417.1; chromosome XIII:CP008418.1; chromosome XIV:CP008419.1; chromosome XV:CP008420.1; chromosome XVI:CP008421.1; mitochondrion MT:CP008422.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776112
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1245,38.5664,GCA_001670995.1,chromosome I:CP008389.1; chromosome II:CP008390.1; chromosome III:CP008391.1; chromosome IV:CP008392.1; chromosome V:CP008393.1; chromosome VI:CP008394.1; chromosome VII:CP008395.1; chromosome VIII:CP008396.1; chromosome IX:CP008397.1; chromosome X:CP008398.1; chromosome XI:CP008399.1; chromosome XII:CP008400.1; chromosome XIII:CP008401.1; chromosome XIV:CP008402.1; chromosome XV:CP008403.1; chromosome XVI:CP008404.1; mitochondrion MT:CP008405.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776113
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1114,38.6334,GCA_001671025.1,chromosome I:CP008338.1; chromosome II:CP008339.1; chromosome III:CP008340.1; chromosome IV:CP008341.1; chromosome V:CP008342.1; chromosome VI:CP008343.1; chromosome VII:CP008344.1; chromosome VIII:CP008345.1; chromosome IX:CP008346.1; chromosome X:CP008347.1; chromosome XI:CP008348.1; chromosome XII:CP008349.1; chromosome XIII:CP008350.1; chromosome XIV:CP008351.1; chromosome XV:CP008352.1; chromosome XVI:CP008353.1; mitochondrion MT:CP008354.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776116
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1209,38.5881,GCA_001671055.1,chromosome I:CP008491.1; chromosome II:CP008492.1; chromosome III:CP008493.1; chromosome IV:CP008494.1; chromosome V:CP008495.1; chromosome VI:CP008496.1; chromosome VII:CP008497.1; chromosome VIII:CP008498.1; chromosome IX:CP008499.1; chromosome X:CP008500.1; chromosome XI:CP008501.1; chromosome XII:CP008502.1; chromosome XIII:CP008503.1; chromosome XIV:CP008504.1; chromosome XV:CP008505.1; chromosome XVI:CP008506.1; mitochondrion MT:CP008507.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02770294
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1262,38.6116,GCA_001671085.1,chromosome I:CP008457.1; chromosome II:CP008458.1; chromosome III:CP008459.1; chromosome IV:CP008460.1; chromosome V:CP008461.1; chromosome VI:CP008462.1; chromosome VII:CP008463.1; chromosome VIII:CP008464.1; chromosome IX:CP008465.1; chromosome X:CP008466.1; chromosome XI:CP008467.1; chromosome XII:CP008468.1; chromosome XIII:CP008469.1; chromosome XIV:CP008470.1; chromosome XV:CP008471.1; chromosome XVI:CP008472.1; mitochondrion MT:CP008473.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776109
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1253,38.6099,GCA_001671115.1,chromosome I:CP008440.1; chromosome II:CP008441.1; chromosome III:CP008442.1; chromosome IV:CP008443.1; chromosome V:CP008444.1; chromosome VI:CP008445.1; chromosome VII:CP008446.1; chromosome VIII:CP008447.1; chromosome IX:CP008448.1; chromosome X:CP008449.1; chromosome XI:CP008450.1; chromosome XII:CP008451.1; chromosome XIII:CP008452.1; chromosome XIV:CP008453.1; chromosome XV:CP008454.1; chromosome XVI:CP008455.1; mitochondrion MT:CP008456.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776110
Saccharomyces cerevisiae,4932,PRJNA247448,247448,Fungi,Ascomycetes,12.1201,38.6458,GCA_001671165.1,chromosome I:CP008423.1; chromosome II:CP008424.1; chromosome III:CP008425.1; chromosome IV:CP008426.1; chromosome V:CP008427.1; chromosome VI:CP008428.1; chromosome VII:CP008429.1; chromosome VIII:CP008430.1; chromosome IX:CP008431.1; chromosome X:CP008432.1; chromosome XI:CP008433.1; chromosome XII:CP008434.1; chromosome XIII:CP008435.1; chromosome XIV:CP008436.1; chromosome XV:CP008437.1; chromosome XVI:CP008438.1; mitochondrion MT:CP008439.1,-,17,-,-,20/06/2016,20/06/2016,Chromosome,The University of Auckland,SAMN02776111
